Step,class_contrastive_both_mod_single_label_imgs - train_pair_loss
0,1.398022175
3,1.064620733
4,1.049209595
5,1.041343689
7,1.032915831
9,1.027892947
10,1.02578187
11,1.023971081
12,1.022305846
13,1.020773411
14,1.019373178
15,1.018030763
16,1.016854525
17,1.015885234
18,1.014970064
20,1.01325357
21,1.012485981
22,1.011906147
23,1.011292458
24,1.010748386
25,1.010291934
27,1.009871244
29,1.00924778
30,1.008912444
32,1.008317232
33,1.008075118
34,1.007879376
35,1.007708073
36,1.007491469
37,1.007317185
39,1.007005334
40,1.006841898
41,1.006683707
42,1.006527424
43,1.006378174
44,1.006264806
45,1.006163597
46,1.006057382
47,1.005936742
48,1.005859733
49,1.005670309
50,1.005602121
54,1.00537312
55,1.005259156
56,1.005167603
57,1.005081773
58,1.004956722
60,1.004888535
61,1.004838347
62,1.00473094
63,1.004675388
65,1.004573822
66,1.004500389
67,1.004427314
68,1.004405737
70,1.004316568
71,1.004313469
72,1.004275084
73,1.004241943
75,1.004145861
76,1.004104137
77,1.004027128
78,1.003997326
81,1.003911257
82,1.003900647
83,1.003900886
86,1.003769398
87,1.003763676
88,1.003699303
89,1.003707409
90,1.003689528
91,1.003650904
92,1.003625631
94,1.003565907
95,1.003529429
96,1.003445983
97,1.003428102
98,1.003384113
99,1.003380775
100,1.003326654
101,1.00332582
102,1.003293514
103,1.003292441
104,1.003252029
106,1.003217816
108,1.003175735
109,1.003157377
110,1.00317049
111,1.003123045
112,1.003135204
113,1.003059506
115,1.003010154
116,1.003011703
117,1.002986908
118,1.002975106
119,1.002885938
120,1.002887368
121,1.002904177
122,1.002885103
123,1.002868295
124,1.002854824
125,1.002820492
126,1.002796412
127,1.002780199
129,1.002786636
130,1.002755642
131,1.002769828
132,1.002745271
133,1.00273478
135,1.002756834
136,1.002738237
137,1.002732515
138,1.002736449
139,1.002706409
140,1.002692938
141,1.002670765
142,1.002695441
143,1.00263238
144,1.002611637
145,1.002577662
146,1.002625585
148,1.002578378
149,1.002569675
150,1.00256443
151,1.002535701
152,1.002489686
153,1.002450466
154,1.002456427
155,1.002420068
156,1.002420068
157,1.002383113
158,1.00233686
159,1.002336264
160,1.002374411
162,1.002346754
163,1.002297401
164,1.002249241
165,1.002260804
166,1.002241254
167,1.00221324
169,1.002199769
170,1.002163887
171,1.002165198
172,1.002115726
173,1.002117872
174,1.00203979
175,1.002155066
176,1.002041698
177,1.002069712
178,1.002009511
179,1.001984
180,1.002024055
181,1.001942158
182,1.001986504
183,1.001963854
184,1.002016425
185,1.001975894
186,1.002016544
187,1.002232671
189,1.002292395
190,1.002485991
191,1.002956986
192,1.003439665
193,1.005371332
195,1.997904062
196,1.410562754
197,1.408518076
198,1.32488215
199,2.010598183
200,1.456386805
201,1.347429514
202,1.397623062
203,1.403861761
204,1.347104311
205,1.357023239
206,1.22721529
209,1.225081444
210,1.246432304
211,1.27195859
214,1.554917455
216,1.471816301
217,1.904377818
218,1.987656116
219,2.107585907
221,2.13237381
222,2.11055994
223,2.30649209
224,2.070196152
225,2.127254963
226,2.126013279
227,2.194169998
228,2.136601686
229,2.306606054
230,2.274116755
231,2.206682682
232,1.966577291
233,1.949980497
234,2.110536575
235,2.418339252
236,2.227542162
237,2.205922127
238,2.227680683
240,2.236648321
241,2.120364904
243,2.12220788
244,2.263012648
245,2.18373847
246,2.103834629
247,2.172509432
248,2.175661325
249,2.219572067
250,2.207143068
251,2.039171696
252,2.138848066
253,2.194029808
254,2.107081175
256,2.289960146
257,2.198289156
258,2.210432291
259,2.241368771
263,2.383676052
264,2.015683413
265,2.265022755
266,2.005520344
267,2.300515175
268,2.098199368
270,2.206360579
271,2.223249674
272,2.180376291
273,2.159943342
274,2.292599916
275,2.348623276
277,2.158601761
278,2.272398472
279,2.174250841
281,2.226501226
282,2.195696354
285,2.258905172
286,2.16925025
287,2.169576883
288,2.17809248
289,2.186885834
290,2.269783735
291,2.169177771
292,2.124437332
293,2.252909184
294,2.057865143
295,2.258775711
297,2.225359201
298,2.266518593
299,2.264800549
300,2.232412338
301,2.271269321
302,2.346442223
303,2.301144838
304,2.088777781
305,2.182035923
306,2.275839329
307,2.278364182
308,2.236101627
309,2.244484663
311,2.308068275
312,2.3478055
313,2.187761784
314,2.25875926
315,2.22450614
316,2.31781745
318,2.217530012
319,2.333131075
320,2.312303305
321,2.293246984
322,2.257647514
324,2.361185789
325,2.24596262
326,2.216750145
327,2.25963068
328,2.19357872
329,2.208441257
330,2.270328045
331,2.162433624
334,2.196181774
335,2.231032848
337,2.027659416
339,1.510873437
340,1.470495701
342,1.443472147
343,1.484393001
344,2.011761665
345,1.509308338
346,1.498226047
347,1.479248047
348,1.952222943
349,1.448413014
351,1.472471118
352,1.414326906
353,1.511013985
354,2.17611146
355,1.566967368
356,1.446908236
357,1.472544312
358,1.486843824
359,1.479069591
360,1.483288288
361,1.455878973
362,2.094880581
363,1.390437841
364,1.437986374
365,1.49397409
366,1.296201229
368,1.36579597
370,1.523177266
371,1.479720354
372,2.021476746
373,1.488779902
374,2.032597542
375,1.491106749
376,1.442623496
378,1.483536482
379,2.076762199
380,2.039860725
381,2.01363802
382,1.426689029
383,1.473721266
384,2.136120081
385,2.079759598
386,1.459054232
387,1.467734337
388,1.951167583
389,1.47525835
390,1.368931055
391,1.448162317
392,2.057314873
393,1.412044764
394,1.447393298
396,1.369990349
397,1.413750768
398,1.488672256
399,1.471597552
400,1.397773981
401,1.447501898
402,1.429204822
405,1.349425554
406,1.38996768
407,1.398773193
408,1.4048599
409,1.43539083
410,1.408034444
411,1.366726041
412,1.436766624
413,1.432182074
414,1.39213109
415,1.416352272
416,1.432645082
417,1.419688225
418,1.409695745
420,1.88688457
421,1.473141313
422,1.238765955
423,1.449801564
424,1.511079669
425,1.186714292
426,1.92751193
427,1.210806727
428,1.426445246
429,2.10081315
434,1.998711586
435,1.746759176
436,1.125694871
437,1.423407316
438,2.048777103
439,2.104110241
440,2.032907009
441,1.424025536
442,1.968306065
443,2.133131742
444,1.95929575
446,1.98591578
447,2.08485508
448,1.393084288
450,1.387626886
452,1.313113689
453,1.270454526
454,1.3149755
456,1.284858227
457,1.151475549
459,1.118715644
460,1.103513718
461,1.182203293
463,1.103623509
464,1.168883324
465,1.084906816
466,1.139482975
467,1.184358358
468,1.096484303
469,1.250231266
470,1.107517362
471,1.193755746
472,1.136228681
473,1.149287939
474,1.111253619
475,1.214419007
476,1.181329727
477,1.177441359
478,1.116251707
479,1.148265243
480,1.078816175
481,1.08897388
482,1.112917662
483,1.148779511
484,1.100655794
488,1.064928889
