Step,class_contrastive_both_mod_single_label_imgs - train_rgb_class_pull_loss_rgb
0,1.000007033
1,1.000016332
2,1.000018239
3,0.750146985
4,0.999999762
5,0.999982238
6,0.999921799
7,1.000008225
8,0.999993443
9,1.000024319
10,0.999954581
11,0.750118673
12,0.999954879
13,0.999949813
14,0.750096738
16,0.500270128
18,1.000015259
19,0.750171781
20,0.999955773
21,0.999976575
22,0.999957442
23,0.750113964
25,0.750129223
27,0.999949217
28,0.500258327
29,0.999975324
30,0.750157177
31,0.50025785
33,0.999990642
34,0.999971926
35,0.999992371
37,0.750106573
38,0.750100136
39,0.999971986
40,0.999982059
41,0.999987543
42,0.99997133
43,0.750154972
44,0.999947429
45,1.000003576
46,0.750136912
48,0.999932706
49,0.750133276
50,0.750154018
51,0.999955058
52,0.999957919
54,0.999974012
56,0.500169992
57,0.999958217
58,0.749971867
60,0.750104189
61,0.750098705
62,0.999953866
63,0.500146806
64,0.99991864
65,0.999953985
66,0.50023824
67,0.999945343
68,0.999981284
70,0.999895275
71,0.999939799
72,0.999965608
73,0.999988556
74,0.999946952
75,0.750138581
76,0.750074029
77,0.750082016
78,0.999925256
79,1.000018597
81,0.749967337
82,0.750113964
83,0.99998486
84,0.750091016
85,0.999939799
86,0.999942124
87,0.750076532
89,0.750067234
90,0.750110328
91,0.99972415
92,0.750106514
93,0.999858558
94,1.000000715
95,0.750138402
96,0.999932468
97,1.000018358
99,0.500268459
100,0.750017345
101,1.000025034
103,0.750078678
104,0.999992251
105,0.99999547
108,1.000012636
110,0.999898791
111,0.750091851
112,0.99997896
113,0.999931931
114,0.99997288
115,0.750036597
116,0.750109911
117,0.500300586
118,0.999963284
119,0.999977589
120,0.999925017
121,0.99985826
123,0.750145972
124,0.500148416
125,0.999893308
126,0.999868512
127,0.750109792
128,0.750116587
129,1.000071406
130,0.750109673
132,1.000007629
133,0.999881387
135,0.999972641
136,0.500207543
138,0.999854684
139,0.750052691
140,0.75008893
142,1.000042439
143,0.999852538
144,0.750129104
145,0.75011754
146,0.750005007
147,1.000025988
148,0.749938965
149,0.999796271
150,0.999942243
153,0.750197828
154,0.750080705
155,0.999936163
156,0.999807
157,1.000011325
158,0.750111818
159,0.999934137
160,0.99970758
162,0.750116587
163,1.00006175
164,0.750181854
166,1.000072598
167,0.999975085
168,0.999995232
169,0.999868333
170,0.999944329
171,0.750155687
172,0.999853313
173,0.750231326
174,0.999959111
175,0.750057697
177,0.750053585
178,0.750132203
179,0.999996424
180,1.000011921
181,0.999723852
182,0.999858201
183,0.500362575
184,0.999961138
185,0.7501387
186,0.999836445
187,0.999908328
189,0.750060081
190,0.999909282
191,0.999827087
192,0.999885976
194,0.999758363
195,0.750006258
196,0.999827027
197,1.000051141
199,1.000018358
200,0.500234962
202,0.999930263
203,0.750059068
205,0.500317216
206,0.999697864
207,0.99989301
208,0.750007272
211,1.000007391
212,0.999831855
213,1.000027299
214,0.500353336
216,0.999911308
217,0.999934614
218,0.99968946
219,0.999862671
220,0.750053406
221,0.750109255
222,0.999910653
223,0.999976873
224,0.999907255
225,0.999825835
227,0.99982053
229,0.749927878
230,0.999806523
232,0.750094533
234,0.749966085
235,0.749952674
236,0.999963164
237,0.750110388
238,0.999899268
239,0.750011742
240,0.99986124
241,0.999874115
243,0.50024724
245,1.000005722
246,0.750192046
247,0.750103593
248,0.749950469
249,0.999904156
250,0.750075817
251,0.999727011
252,0.999899566
253,0.7501086
254,0.999900281
255,0.749952197
256,0.999690413
257,0.999870896
258,0.500184417
259,0.750032306
260,0.750011921
261,0.999839902
262,0.99999094
263,0.500231147
264,0.999961853
265,1.000036836
266,0.750137925
267,0.999922991
271,0.750096858
272,0.749996901
273,0.750059366
274,0.999989748
275,0.999849677
276,1.000015974
277,1.000044465
278,0.750185907
279,0.999891996
280,0.999949098
281,0.749916434
282,1.000050664
283,0.749997377
284,0.999977231
285,1.000061154
286,0.75009793
287,0.50012064
288,1.000033379
289,0.750078082
290,0.999785721
291,0.999833405
292,0.749994576
293,0.750036776
294,0.500029266
295,0.750050128
297,0.50005585
298,0.750017345
299,0.75011754
301,1.000007153
303,0.999900281
304,0.75006485
305,0.750049114
306,0.999858618
307,0.750007033
309,0.500167727
310,0.749986529
311,0.750007272
312,0.750060201
315,0.750078619
316,0.750126064
317,0.999988675
318,0.750052571
319,1.00002563
320,0.750094175
321,0.750157416
322,0.999858201
324,0.75006634
325,0.750047207
326,0.749815404
327,0.750044823
328,0.750012755
329,1.00006938
330,0.999901533
331,0.999830604
332,0.999890029
