Step,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss__MIN,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss__MAX
0,0.99999404,0.99999404,0.99999404
1,0.999970078,0.999970078,0.999970078
3,0.750054598,0.750054598,0.750054598
4,0.999994636,0.999994636,0.999994636
5,0.99995172,0.99995172,0.99995172
8,0.999980628,0.999980628,0.999980628
9,0.999984682,0.999984682,0.999984682
10,0.999941587,0.999941587,0.999941587
11,0.750046253,0.750046253,0.750046253
12,0.999999285,0.999999285,0.999999285
13,0.999961138,0.999961138,0.999961138
14,0.750040531,0.750040531,0.750040531
15,0.999987721,0.999987721,0.999987721
16,0.50011611,0.50011611,0.50011611
17,0.999968052,0.999968052,0.999968052
18,0.999962747,0.999962747,0.999962747
19,0.750067115,0.750067115,0.750067115
20,0.999959469,0.999959469,0.999959469
22,0.99992156,0.99992156,0.99992156
23,0.749972403,0.749972403,0.749972403
24,0.999954343,0.999954343,0.999954343
25,0.750024676,0.750024676,0.750024676
27,0.999967575,0.999967575,0.999967575
28,0.50009203,0.50009203,0.50009203
29,0.999985218,0.999985218,0.999985218
33,0.999924064,0.999924064,0.999924064
34,0.999947906,0.999947906,0.999947906
36,0.999982834,0.999982834,0.999982834
37,0.750043035,0.750043035,0.750043035
38,0.750038445,0.750038445,0.750038445
39,0.999954998,0.999954998,0.999954998
40,0.999957919,0.999957919,0.999957919
41,0.999947906,0.999947906,0.999947906
42,0.999941289,0.999941289,0.999941289
43,0.750021696,0.750021696,0.750021696
44,0.999985814,0.999985814,0.999985814
45,0.999986112,0.999986112,0.999986112
47,0.999877214,0.999877214,0.999877214
48,0.999976277,0.999976277,0.999976277
49,0.750020504,0.750020504,0.750020504
50,0.750026703,0.750026703,0.750026703
51,0.999843001,0.999843001,0.999843001
52,0.999949336,0.999949336,0.999949336
54,0.999895513,0.999895513,0.999895513
55,0.999959171,0.999959171,0.999959171
56,0.500111103,0.500111103,0.500111103
57,0.999963641,0.999963641,0.999963641
59,0.999918461,0.999918461,0.999918461
60,0.75003612,0.75003612,0.75003612
62,1.000011325,1.000011325,1.000011325
63,0.500035226,0.500035226,0.500035226
64,0.999952316,0.999952316,0.999952316
66,0.500109673,0.500109673,0.500109673
67,0.999963403,0.999963403,0.999963403
68,0.999962747,0.999962747,0.999962747
69,0.999938309,0.999938309,0.999938309
71,0.999881685,0.999881685,0.999881685
72,0.999912024,0.999912024,0.999912024
73,0.999929249,0.999929249,0.999929249
74,0.999908924,0.999908924,0.999908924
75,0.750050485,0.750050485,0.750050485
76,0.750025928,0.750025928,0.750025928
78,0.999995828,0.999995828,0.999995828
79,0.999827087,0.999827087,0.999827087
81,0.749915004,0.749915004,0.749915004
82,0.750041366,0.750041366,0.750041366
83,0.999883831,0.999883831,0.999883831
84,0.749993145,0.749993145,0.749993145
85,0.999896705,0.999896705,0.999896705
86,0.999917805,0.999917805,0.999917805
87,0.750090182,0.750090182,0.750090182
88,0.999899983,0.999899983,0.999899983
89,0.749982715,0.749982715,0.749982715
90,0.750029922,0.750029922,0.750029922
91,0.999749899,0.999749899,0.999749899
92,0.750068843,0.750068843,0.750068843
93,0.999811351,0.999811351,0.999811351
94,0.999936461,0.999936461,0.999936461
95,0.750029087,0.750029087,0.750029087
96,0.999818027,0.999818027,0.999818027
97,0.999940336,0.999940336,0.999940336
98,0.999920487,0.999920487,0.999920487
99,0.500136733,0.500136733,0.500136733
100,0.749890924,0.749890924,0.749890924
101,0.999927044,0.999927044,0.999927044
102,0.999910414,0.999910414,0.999910414
103,0.749946296,0.749946296,0.749946296
104,0.999744952,0.999744952,0.999744952
105,0.999948978,0.999948978,0.999948978
106,0.999841571,0.999841571,0.999841571
108,0.999954998,0.999954998,0.999954998
109,0.999761283,0.999761283,0.999761283
110,0.999730349,0.999730349,0.999730349
111,0.749895453,0.749895453,0.749895453
112,0.999865651,0.999865651,0.999865651
113,0.999700069,0.999700069,0.999700069
114,0.999663532,0.999663532,0.999663532
115,0.749939919,0.749939919,0.749939919
116,0.750086606,0.750086606,0.750086606
117,0.500154316,0.500154316,0.500154316
118,0.999809384,0.999809384,0.999809384
119,0.999673247,0.999673247,0.999673247
121,0.999974728,0.999974728,0.999974728
122,0.999860287,0.999860287,0.999860287
123,0.750010908,0.750010908,0.750010908
124,0.500141919,0.500141919,0.500141919
125,0.999631643,0.999631643,0.999631643
127,0.750054657,0.750054657,0.750054657
128,0.749921381,0.749921381,0.749921381
130,0.749795258,0.749795258,0.749795258
131,0.999831915,0.999831915,0.999831915
132,0.999687552,0.999687552,0.999687552
133,0.999710262,0.999710262,0.999710262
135,0.999573171,0.999573171,0.999573171
136,0.500252664,0.500252664,0.500252664
137,0.999757826,0.999757826,0.999757826
139,0.749946237,0.749946237,0.749946237
140,0.74973309,0.74973309,0.74973309
141,0.749866545,0.749866545,0.749866545
142,0.999600589,0.999600589,0.999600589
143,0.999587774,0.999587774,0.999587774
144,0.749999702,0.749999702,0.749999702
145,0.749909401,0.749909401,0.749909401
146,0.749903381,0.749903381,0.749903381
148,0.750035882,0.750035882,0.750035882
149,0.999755442,0.999755442,0.999755442
151,0.500260472,0.500260472,0.500260472
152,0.999671936,0.999671936,0.999671936
153,0.75020051,0.75020051,0.75020051
154,0.750098109,0.750098109,0.750098109
155,0.999502897,0.999502897,0.999502897
156,0.999364614,0.999364614,0.999364614
157,0.999751091,0.999751091,0.999751091
159,0.999567747,0.999567747,0.999567747
160,0.999313831,0.999313831,0.999313831
162,0.750139177,0.750139177,0.750139177
163,0.999695361,0.999695361,0.999695361
164,0.749627471,0.749627471,0.749627471
165,0.999614656,0.999614656,0.999614656
166,0.999196291,0.999196291,0.999196291
168,0.999659359,0.999659359,0.999659359
169,0.999582171,0.999582171,0.999582171
170,0.999409199,0.999409199,0.999409199
171,0.749991179,0.749991179,0.749991179
172,0.999165177,0.999165177,0.999165177
173,0.749633074,0.749633074,0.749633074
174,0.998862505,0.998862505,0.998862505
175,0.75073719,0.75073719,0.75073719
177,0.748677373,0.748677373,0.748677373
179,0.998494506,0.998494506,0.998494506
180,0.999713123,0.999713123,0.999713123
181,0.998204827,0.998204827,0.998204827
182,0.996906102,0.996906102,0.996906102
184,0.996947169,0.996947169,0.996947169
185,0.750419199,0.750419199,0.750419199
186,0.996427059,0.996427059,0.996427059
187,0.99715662,0.99715662,0.99715662
189,0.744999766,0.744999766,0.744999766
190,0.990691364,0.990691364,0.990691364
191,0.996422827,0.996422827,0.996422827
192,0.995205998,0.995205998,0.995205998
193,0.504664958,0.504664958,0.504664958
195,0.693191707,0.693191707,0.693191707
196,0.798838854,0.798838854,0.798838854
197,0.902515531,0.902515531,0.902515531
198,0.844203711,0.844203711,0.844203711
199,0.985293448,0.985293448,0.985293448
201,0.777297616,0.777297616,0.777297616
202,0.697262049,0.697262049,0.697262049
203,0.780088663,0.780088663,0.780088663
204,0.740214825,0.740214825,0.740214825
205,0.520722091,0.520722091,0.520722091
207,1.090151668,1.090151668,1.090151668
208,0.932596922,0.932596922,0.932596922
209,0.783525527,0.783525527,0.783525527
210,0.699055791,0.699055791,0.699055791
